Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Alexander Nübel-Stuttgart;Pascal Stenzel-Stuttgart;Finn Jeltsch-Stuttgart;Jeff Chabot-Stuttgart;Maximilian Mittelstädt-Stuttgart;Atakan Karazor-Stuttgart;Angelo Stiller-Stuttgart;Jamie Leweling-Stuttgart;Deniz Undav-Stuttgart;Chris Führich-Stuttgart;Nick Woltemade-Stuttgart;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Leonidas Stergiou-Stuttgart;Fabian Rieder-Stuttgart;Ermedin Demirovic-Stuttgart;Enzo Millot-Stuttgart;Luca Jaquez-Stuttgart;Ramon Hendriks-Stuttgart;Yannik Keitel-Stuttgart;Ameen Al-Dakhil-Stuttgart;Josha Vagnoman-Stuttgart;Jacob Bruun Larsen-Stuttgart;Anthony Rouault-Stuttgart;Fabian Bredlow-Stuttgart;Anrie Chase-Stuttgart;El Bilal Touré-Stuttgart;Frans Krätzig-Stuttgart;Waldemar Anton-Stuttgart;Hiroki Itō-Stuttgart;Serhou Guirassy-Stuttgart;Mahmoud Dahoud-Stuttgart;Jeong Woo-yeong-Stuttgart;Dan-Axel Zagadou-Stuttgart;Silas-Stuttgart;Lilian Egloff-Stuttgart;Wataru Endō-Stuttgart;Florian Müller-Stuttgart;Konstantinos Mavropanos-Stuttgart;Borna Sosa-Stuttgart;Nikolas Nartey-Stuttgart;Tiago Tomás-Stuttgart;Genki Haraguchi-Stuttgart;Luca Pfeiffer-Stuttgart;Juan José Perea-Stuttgart;Gil Dias-Stuttgart;Thomas Kastanaras-Stuttgart;Naouirou Ahamada-Stuttgart
2025-05-11;Stuttgart;9;3;17;18;173;Augsburgo;1;2;29;7;11;0;0.72;0.28;661;0.91;9;7;1;1;0;1;11;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2;0.04;0.1111111111111111;602;0.0149501661129568;836.1111111111111;0.3793103448275862;15.27777777777778;22;0.4399999999999999;9;-1;2;0.0438729198184568;0.1379310344827586;0.18;2.75;1;3;4;1;0;0;0;1;0.1379310344827586;0.3636363636363636;0.0060514372163388;7.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-03;Stuttgart;9;3;6;18;176;St. Pauli;3;4;21;6;8;1;0.7;0.3;628;0.88;12;17;3;2;0;2;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0499999999999999;0.25;553;0.0216998191681736;790.0;0.1904761904761904;5.714285714285714;15;0.3999999999999999;0;-1;-5;0.0334394904458598;0.0476190476190476;0.7;4.0;0;1;1;1;0;0;1;0;0.0476190476190476;0.125;0.001592356687898;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-25;Stuttgart;9;3;4;18;142;Heidenheim;0;4;19;6;3;2;0.7;0.3;711;0.9;14;16;0;4;0;0;6;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;5;0.0499999999999999;0.0;640;0.021875;914.2857142857144;0.3157894736842105;8.571428571428571;13;0.3999999999999999;1;-4;-2;0.0267229254571026;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Stuttgart;9;3;2;18;169;FC Union Berlin;2;0;12;12;6;5;0.78;0.22;821;0.92;9;8;2;0;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;3;0.0183333333333333;0.2222222222222222;755;0.0119205298013245;967.948717948718;0.4166666666666667;6.41025641025641;0;0.56;2;2;1;0.0146163215590742;0.3333333333333333;0.195;1.25;4;0;4;0;1;0;1;0;0.3333333333333333;0.6666666666666666;0.0048721071863581;3.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Stuttgart;9;3;2;18;171;Werder Bremen;2;2;12;14;4;5;0.47;0.53;482;0.79;12;13;1;2;1;0;3;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;4;0.0378571428571428;0.1666666666666666;381;0.0314960629921259;810.6382978723404;0.25;6.382978723404256;-2;-0.06;-1;0;-1;0.0248962655601659;0.0833333333333333;0.47;3.0;1;0;1;0;0;1;0;1;0.0833333333333333;0.25;0.0020746887966804;12.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Stuttgart;9;1;2;18;178;Bochum;1;1;14;11;6;2;0.45;0.55;409;0.8;13;17;1;1;0;0;4;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;2;0.05;0.0769230769230769;327;0.0397553516819571;726.6666666666666;0.2857142857142857;8.88888888888889;3;-0.1;2;0;-4;0.0342298288508557;0.2857142857142857;0.1125;1.0;2;2;4;1;0;0;1;0;0.2857142857142857;0.6666666666666666;0.0097799511002444;3.5;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Stuttgart;23;4;1;18;31;RB Leipzig;0;3;9;25;6;5;0.32;0.68;269;0.66;8;14;0;3;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;5;0.0272;0.0;178;0.0449438202247191;556.25;0.5555555555555556;15.625;-16;-0.36;0;-3;-6;0.0334572490706319;0.3333333333333333;0.1066666666666666;1.6666666666666667;1;2;3;1;0;0;0;1;0.3333333333333333;0.5;0.0111524163568773;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Stuttgart;9;3;3;18;87;Frankfurt;4;1;8;19;2;6;0.54;0.46;429;0.82;6;9;3;1;1;0;10;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;6;0.0242105263157894;0.6666666666666666;352;0.0170454545454545;651.8518518518518;1.25;18.51851851851852;-11;0.08;4;3;-3;0.0186480186480186;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Stuttgart;9;1;8;18;6;Leverkusen;3;2;11;16;6;4;0.43;0.57;352;0.76;13;14;3;2;0;0;1;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;10;0.035625;0.2307692307692307;268;0.0485074626865671;623.2558139534884;0.0909090909090909;2.3255813953488373;-5;-0.1399999999999999;-9;1;-1;0.03125;0.2727272727272727;0.1433333333333333;0.3333333333333333;1;2;3;0;0;1;0;1;0.2727272727272727;0.5;0.0085227272727272;3.6666666666666665;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Stuttgart;9;1;17;18;177;KSV Holstein;3;1;6;17;2;5;0.47;0.53;451;0.82;9;8;2;1;1;0;1;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.0311764705882352;0.3333333333333333;370;0.0243243243243243;787.2340425531916;0.1666666666666666;2.127659574468085;-11;-0.06;-2;2;1;0.0133037694013303;0.3333333333333333;0.235;0.5;1;1;2;0;1;0;1;0;0.3333333333333333;1.0;0.0044345898004434;3.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
